,S11,S21,S31,S12,S22,S32,S13,S23,S33,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31
4.095,(-0.02214769419910506-0.03769277312658194j),(-0.861201149648641+0.5063805574533515j),(-3.050653589806547e-05-6.383080987890178e-05j),(-0.8612011496486388+0.5063805574533504j),(-0.02217002155508731-0.03767961554258255j),(2.11976946281883e-05+6.704467879911128e-05j),(-3.050653589804733e-05-6.383080987889004e-05j),(2.119769462819055e-05+6.704467879909018e-05j),(0.984336199231927-0.1763015247490398j),-27.186789785404844,-0.008308660419535058,-83.00594094039172,-120.43784041670835,149.54475453565223,-115.54444482688163
4.096,(-0.02215754971013907-0.03769830300921482j),(-0.8611350315936357+0.5064921446680629j),(-3.058952946942156e-05-6.39880882521938e-05j),(-0.8611350315936334+0.5064921446680616j),(-0.02217984424376788-0.03768516063033898j),(2.125648659530389e-05+6.72111687287515e-05j),(-3.058952946940328e-05-6.3988088252182e-05j),(2.125648659530616e-05+6.721116872873025e-05j),(0.9843285393558638-0.1763442860966054j),-27.1848506968161,-0.008312375853096556,-82.98415200273867,-120.44530347609236,149.53731593157718,-115.55014893279545
4.097,(-0.02216740717803483-0.03770383088452808j),(-0.8610688986535087+0.5066037237889027j),(-3.067288036379019e-05-6.414603190823357e-05j),(-0.8610688986535066+0.5066037237889017j),(-0.02218966869099313-0.03769070384048858j),(2.131553274755323e-05+6.737836406512413e-05j),(-3.067288036377179e-05-6.414603190822174e-05j),(2.131553274755554e-05+6.737836406510276e-05j),(0.9843208774913026-0.1763870478424044j),-27.182912040436833,-0.008316092109592128,-82.96232535032617,-120.45276674684412,149.52987728845775,-115.5558530281904
4.098,(-0.02217726660551523-0.03770935675556864j),(-0.8610027508265655+0.5067152948178694j),(-3.075659081959845e-05-6.430464500387663e-05j),(-0.8610027508265634+0.5067152948178683j),(-0.022199494898308-0.03769624517687162j),(2.137483467808089e-05+6.7546269216992e-05j),(-3.075659081957991e-05-6.430464500386474e-05j),(2.137483467808323e-05+6.754626921697047e-05j),(0.984313213637349-0.176429809990868j),-27.180973815167583,-0.008319809190785378,-82.94046082842937,-120.46023022999807,149.52243860601826,-115.56155711338434
4.099,(-0.0221871279953317-0.03771488062541209j),(-0.8609365881110883+0.5068268577569929j),(-3.084066309392701e-05-6.446393173059515e-05j),(-0.8609365881110861+0.5068268577569915j),(-0.0222093228672762-0.03770178464336361j),(2.143439399330942e-05+6.771488862983476e-05j),(-3.084066309390834e-05-6.446393173058321e-05j),(2.143439399331178e-05+6.771488862981311e-05j),(0.9843055477931009-0.1764725725464647j),-27.179036019901975,-0.00832352709845729,-82.91855828136137,-120.46769392659799,149.51499988398095,-115.56726118869909
4.1,(-0.02219699135026453-0.03772040249716289j),(-0.8608704105053349+0.506938412608336j),(-3.092509946270461e-05-6.462389631483871e-05j),(-0.8608704105053326+0.5069384126083347j),(-0.02221915259948042-0.0377073222438757j),(2.149421231307786e-05+6.788422678623187e-05j),(-3.092509946268582e-05-6.462389631482674e-05j),(2.149421231308027e-05+6.78842267862101e-05j),(0.9842978799576484-0.1765153355137012j),-27.177098653526635,-0.008327245834406225,-82.8966175524653,-120.47515783769698,149.50756112206557,-115.57296525446054
4.101,(-0.0222068566731232-0.0377259223739548j),(-0.8608042180075384+0.5070499593739946j),(-3.100990222090549e-05-6.478454301840048e-05j),(-0.8608042180075359+0.5070499593739932j),(-0.0222289840965226-0.03771285798235499j),(2.15542912707823e-05+6.805428820625079e-05j),(-3.100990222088658e-05-6.478454301838843e-05j),(2.155429127078474e-05+6.805428820622886e-05j),(0.9842902101300739-0.1765580988971222j),-27.175161714921106,-0.008330965400452747,-82.87463848410611,-120.48262196435773,149.5001223199896,-115.57866931099862
4.102,(-0.02221672396674663-0.03773144025895107j),(-0.8607380106159079+0.5071614980560978j),(-3.10950736827485e-05-6.494587613878657e-05j),(-0.8607380106159057+0.5071614980560966j),(-0.02223881736002405-0.03771839186278497j),(2.16146325135175e-05+6.822507744783869e-05j),(-3.109507368272944e-05-6.494587613877448e-05j),(2.161463251351996e-05+6.822507744781664e-05j),(0.9842825383094526-0.1766008627013112j),-27.173225202957788,-0.008334685798426111,-82.85262091766245,-120.49008630765256,149.4926834774681,-115.58437335864754
4.103,(-0.02222659323400352-0.0377369561553448j),(-0.8606717883286279+0.5072730286568082j),(-3.118061618189919e-05-6.510790000959098e-05j),(-0.8606717883286257+0.5072730286568069j),(-0.02224865239162567-0.03772392388918584j),(2.167523770222088e-05+6.839659910722043e-05j),(-3.118061618187999e-05-6.510790000957884e-05j),(2.167523770222338e-05+6.839659910719826e-05j),(0.984274864494851-0.176643626930891j),-27.171289116501836,-0.008338407030176813,-82.83056469351843,-120.4975508686634,149.48524459421373,-115.59007739774552
4.104,(-0.02223646447779271-0.03774247006635928j),(-0.8606055511438568+0.5073845511783227j),(-3.126653207167487e-05-6.527061900087603e-05j),(-0.8606055511438546+0.5073845511783214j),(-0.0222584891929882-0.03772945406561496j),(2.173610851181852e-05+6.856885781930186e-05j),(-3.126653207165556e-05-6.527061900086385e-05j),(2.173610851182106e-05+6.856885781927954e-05j),(0.9842671886853281-0.1766863915905238j),-27.169353454411112,-0.00834212909757562,-82.80846965105505,-120.50501564848211,149.47780566993683,-115.59578142863514
4.105,(-0.02224633770104341-0.03774798199524826j),(-0.8605392990597287+0.5074960656228725j),(-3.13528237252511e-05-6.543403751955521e-05j),(-0.8605392990597266+0.5074960656228713j),(-0.02226832776579241-0.03773498239616718j),(2.179724663137206e-05+6.8741858258076e-05j),(-3.135282372523165e-05-6.543403751954297e-05j),(2.179724663137462e-05+6.874185825805355e-05j),(0.9842595108799348-0.1767291566849117j),-27.167418215536077,-0.00834585200250778,-82.78633562864208,-120.5124806482104,149.4703667043452,-115.60148545166315
4.106,(-0.02225621290671558-0.03775349194529625j),(-0.8604730320743516+0.5076075719927234j),(-3.143949353587171e-05-6.5598160009783e-05j),(-0.8604730320743496+0.5076075719927221j),(-0.02227816811173923-0.03774050888497521j),(2.185865376422829e-05+6.891560513703651e-05j),(-3.143949353585213e-05-6.55981600097707e-05j),(2.185865376423089e-05+6.891560513701392e-05j),(0.9842518310777142-0.1767719222187973j),-27.16548339871974,-0.00834957574687496,-82.7641624636293,-120.51994586895998,149.46292769714415,-115.60718946718055
4.107,(-0.02226609009780024-0.03775899991981892j),(-0.8604067501858078+0.5077190702901764j),(-3.152654391706169e-05-6.576299095334964e-05j),(-0.8604067501858055+0.507719070290175j),(-0.02228801023255017-0.03774603353621016j),(2.192033162817072e-05+6.90901032095964e-05j),(-3.152654391704198e-05-6.576299095333729e-05j),(2.192033162817333e-05+6.90901032095737e-05j),(0.9842441492777002-0.1768146881969641j),-27.163549002797556,-0.008353300332601024,-82.74194999233794,-120.52741131185273,149.45548864803655,-115.61289347554276
4.108,(-0.02227596927731981-0.03776450592216336j),(-0.8603404533921527+0.5078305605175677j),(-3.161397730284165e-05-6.592853487007901e-05j),(-0.8603404533921505+0.5078305605175664j),(-0.02229785412996731-0.0377515563540818j),(2.198228195557216e-05+6.926535726951015e-05j),(-3.161397730282182e-05-6.59285348700666e-05j),(2.19822819555748e-05+6.92653572694873e-05j),(0.9842364654789193-0.1768574546242364j),-27.16161502659734,-0.008357025761629153,-82.7196980500519,-120.53487697802072,149.44804955672274,-115.61859747710952
4.109,(-0.02228585044832847-0.03777000995570847j),(-0.8602741416914162+0.5079420426772697j),(-3.170179614794638e-05-6.609479631823402e-05j),(-0.8602741416914139+0.5079420426772685j),(-0.02230769980575367-0.03775707734283899j),(2.204450649355042e-05+6.944137215130359e-05j),(-3.170179614792641e-05-6.609479631822155e-05j),(2.20445064935531e-05+6.944137215128063e-05j),(0.9842287796803895-0.1769002215054807j),-27.15968146893921,-0.008360752035917001,-82.69740647100903,-120.54234286860644,149.44061042290045,-115.62430147224498
4.11,(-0.02229573361391243-0.03777551202386522j),(-0.8602078150816014+0.5080535167716912j),(-3.179000292804492e-05-6.626177989492488e-05j),(-0.8602078150815989+0.5080535167716898j),(-0.02231754726169334-0.03776259650677017j),(2.210700700412499e-05+6.961815273070715e-05j),(-3.179000292802482e-05-6.626177989491236e-05j),(2.210700700412769e-05+6.961815273068403e-05j),(0.9842210918811196-0.1769429888456051j),-27.157748328635467,-0.008364479157440574,-82.67507508839222,-120.54980898476272,149.4331712462649,-115.63000546131778
4.111,(-0.0223056187771903-0.03778101213007704j),(-0.8601414735606833+0.5081649828032766j),(-3.187860013996443e-05-6.642949023652436e-05j),(-0.8601414735606809+0.5081649828032754j),(-0.02232739649959178-0.0377681138502037j),(2.216978526437629e-05+6.979570392509597e-05j),(-3.187860013994423e-05-6.642949023651182e-05j),(2.216978526437904e-05+6.979570392507274e-05j),(0.9842134020801112-0.1769857566495609j),-27.15581560449056,-0.0083682071282029,-82.65270373432037,-120.55727532765303,149.42573202650865,-115.63570944470096
4.112,(-0.02231550594131351-0.03778651027782017j),(-0.8600751171266108+0.5082764407745084j),(-3.196759030191685e-05-6.659793201908818e-05j),(-0.8600751171266087+0.5082764407745073j),(-0.02233724752127605-0.03777362937750834j),(2.223284306660716e-05+6.997403069393621e-05j),(-3.196759030189648e-05-6.659793201907555e-05j),(2.223284306660993e-05+6.997403069391284e-05j),(0.9842057102763558-0.1770285249223418j),-27.153883295300943,-0.008371935950215707,-82.63029223983924,-120.56474189845149,149.4182927633217,-115.6414134227722
4.113,(-0.02232539510946657-0.03779200647060402j),(-0.8600087457773045+0.508387890687906j),(-3.205697595372759e-05-6.676710995877939e-05j),(-0.860008745777302+0.5083878906879048j),(-0.02234710032859498-0.03777914309309365j),(2.229618221850565e-05+7.015313803923502e-05j),(-3.205697595370712e-05-6.676710995876672e-05j),(2.229618221850845e-05+7.015313803921152e-05j),(0.9841980164688369-0.1770712936689854j),-27.151951399855015,-0.008375665625516783,-82.60784043491236,-120.572208698343,149.41085345639127,-115.64711739591365
4.114,(-0.02233528628486744-0.03779750071197148j),(-0.8599423595106575+0.5084993325460266j),(-3.21467596570681e-05-6.69370288122995e-05j),(-0.8599423595106553+0.5084993325460254j),(-0.02235695492341943-0.03778465500141042j),(2.235980454331051e-05+7.033303100599784e-05j),(-3.21467596570475e-05-6.693702881228677e-05j),(2.235980454331333e-05+7.033303100597419e-05j),(0.9841903206565293-0.1771140628945729j),-27.150019916933033,-0.008379396156161296,-82.58534814841171,-120.57967572852331,149.403414105402,-115.65282136451216
4.115,(-0.02234517947076797-0.03780299300549927j),(-0.8598759583245346+0.5086107663514657j),(-3.223694399569126e-05-6.71076933773254e-05j),(-0.8598759583245323+0.5086107663514645j),(-0.02236681130764255-0.03779016510695115j),(2.242371187997887e-05+7.051371468269183e-05j),(-3.223694399567055e-05-6.710769337731263e-05j),(2.242371187998173e-05+7.051371468266807e-05j),(0.9841826228383981-0.1771568326042302j),-27.148088845307036,-0.008383127544220829,-82.56281520810829,-120.58714299019934,149.39597471003572,-115.6585253289592
4.116,(-0.02235507467045416-0.03780848335479839j),(-0.8598095422167713+0.5087221921068571j),(-3.232753157566953e-05-6.727910849295091e-05j),(-0.8598095422167691+0.508722192106856j),(-0.02237666948318004-0.03779567341425047j),(2.24879060833557e-05+7.069519420171427e-05j),(-3.232753157564868e-05-6.727910849293807e-05j),(2.248790608335859e-05+7.069519420169036e-05j),(0.9841749230134-0.1771996028031281j),-27.146158183740713,-0.008386859791799782,-82.54024144066263,-120.59461048458903,149.38853526997156,-115.66422928965093
4.117,(-0.02236497188724663-0.03781397176351441j),(-0.8597431111851757+0.5088336098148742j),(-3.241852502563636e-05-6.745127904013472e-05j),(-0.8597431111851734+0.508833609814873j),(-0.02238652945197032-0.03780117992788557j),(2.255238902434576e-05+7.087747473986769e-05j),(-3.241852502561537e-05-6.745127904012181e-05j),(2.255238902434868e-05+7.087747473984363e-05j),(0.9841672211804827-0.1772423734964827j),-27.144227930989345,-0.008390592901003533,-82.51762667161522,-120.60207821292155,149.3810957848859,-115.66993324698834
4.118,(-0.02237487112450089-0.03781945823532784j),(-0.8596766652275254+0.5089450194782292j),(-3.250992699703067e-05-6.762420994215374e-05j),(-0.8596766652275231+0.5089450194782281j),(-0.02239639121597488-0.03780668465247673j),(2.261716259008759e-05+7.106056151884073e-05j),(-3.250992699700957e-05-6.762420994214081e-05j),(2.261716259009053e-05+7.106056151881657e-05j),(0.9841595173385839-0.1772851446895559j),-27.14229808579971,-0.0083943268739751,-82.49497072537687,-120.60954617643752,149.37365625445227,-115.6756372013771
4.119,(-0.02238477238560783-0.03782494277395457j),(-0.8596102043415693+0.5090564210996745j),(-3.26017401643446e-05-6.779790616506276e-05j),(-0.8596102043415669+0.5090564210996733j),(-0.0224062547771784-0.03781218759268769j),(2.268222868412987e-05+7.124445980569573e-05j),(-3.260174016432337e-05-6.779790616504976e-05j),(2.268222868413286e-05+7.124445980567145e-05j),(0.9841518114866326-0.177327916387656j),-27.140368646909966,-0.00839806171286909,-82.47227342521884,-120.61701437638908,149.3662166783413,-115.68134115322785
4.12,(-0.02239467567399402-0.03783042538314618j),(-0.8595437285250264+0.509167814682003j),(-3.269396722537467e-05-6.797237271816039e-05j),(-0.859543728525024+0.5091678146820017j),(-0.02241612013758914-0.03781768875322623j),(2.274758922661036e-05+7.142917491336294e-05j),(-3.269396722535332e-05-6.797237271814737e-05j),(2.274758922661337e-05+7.142917491333853e-05j),(0.9841441036235482-0.1773706885961384j),-27.13843961304958,-0.008401797419862325,-82.44953459326285,-120.62448281403988,149.35877705622082,-115.68704510295598
4.121,(-0.02240458099312216-0.03783590606669038j),(-0.859477237775585+0.5092792002280475j),(-3.278661090147583e-05-6.81476146544601e-05j),(-0.8594772377755828+0.5092792002280464j),(-0.02242598729923912-0.03782318813884453j),(2.281324615443656e-05+7.16147122011401e-05j),(-3.278661090145435e-05-6.8147614654447e-05j),(2.281324615443959e-05+7.161471220111554e-05j),(0.9841363937482404-0.1774134613204057j),-27.13651098293922,-0.008405533997157676,-82.42675405047125,-120.63195149066547,149.35133738775582,-115.69274905098189
4.122,(-0.02241448834649143-0.0378413848284114j),(-0.8594107320909041+0.509390577740683j),(-3.287967393781892e-05-6.832363707116788e-05j),(-0.8594107320909019+0.5093905777406817j),(-0.0224358562641844-0.03782868575433975j),(2.287920142146919e-05+7.180107707519928e-05j),(-3.287967393779731e-05-6.832363707115472e-05j),(2.287920142147225e-05+7.18010770751746e-05j),(0.9841286818596093-0.1774562345659083j),-27.134582755290644,-0.008409271446971546,-82.40393161663674,-120.63942040755315,149.34389767260822,-115.69845299773097
4.123,(-0.02242439773763795-0.03784686167217032j),(-0.8593442114686107+0.5095019472228256j),(-3.297315910365209e-05-6.85004451101672e-05j),(-0.8593442114686084+0.5095019472228243j),(-0.02244572703450535-0.03783418160455451j),(2.294545699870822e-05+7.198827498910114e-05j),(-3.297315910363036e-05-6.850044511015397e-05j),(2.294545699871129e-05+7.19882749890763e-05j),(0.9841209679565458-0.1774990083381454j),-27.13265492880664,-0.008413009771548328,-82.38106711037217,-120.64688956600234,149.33645791043705,-115.70415694363358
4.124,(-0.02243430917013509-0.03785233660186557j),(-0.8592776759063016+0.5096133086774332j),(-3.306706919256457e-05-6.867804395850819e-05j),(-0.8592776759062992+0.509613308677432j),(-0.02245559961230687-0.03783967569437728j),(2.30120148744806e-05+7.21763114443137e-05j),(-3.306706919254271e-05-6.867804395849493e-05j),(2.301201487448372e-05+7.217631144428878e-05j),(0.9841132520379299-0.1775417826426648j),-27.13072750218089,-0.008416748973149795,-82.35816034910027,-120.65435896732447,149.32901810089834,-115.70986088912524
4.125,(-0.02244422264759403-0.03785780962143329j),(-0.8592111254015412+0.5097246621075071j),(-3.316140702275543e-05-6.885643884890624e-05j),(-0.859211125401539+0.509724662107506j),(-0.02246547399971878-0.03784516802874305j),(2.307887705463175e-05+7.236519199074154e-05j),(-3.316140702273343e-05-6.885643884889291e-05j),(2.307887705463489e-05+7.236519199071646e-05j),(0.9841055341026326-0.177584557485064j),-27.12880047409785,-0.008420489054063788,-82.335211149043,-120.66182861284342,149.32157824364504,-115.71556483464653
4.126,(-0.02245413817366402-0.03786328073484771j),(-0.8591445599518631+0.5098360075160911j),(-3.325617543730404e-05-6.903563506024352e-05j),(-0.8591445599518607+0.5098360075160898j),(-0.02247535019889597-0.03785065861263369j),(2.314604556271799e-05+7.255492222725752e-05j),(-3.325617543728192e-05-6.903563506023013e-05j),(2.314604556272117e-05+7.255492222723234e-05j),(0.9840978141495141-0.1776273328709906j),-27.126873843232712,-0.00842423001659649,-82.31221932521125,-120.66929850389535,149.31413833832707,-115.72126878064323
4.127,(-0.02246405575203287-0.03786874994612165j),(-0.8590779795547681+0.5099473449062719j),(-3.335137730444572e-05-6.921563791808036e-05j),(-0.8590779795547658+0.5099473449062708j),(-0.02248522821201873-0.03785614745107857j),(2.32135224402028e-05+7.274550780224521e-05j),(-3.335137730442349e-05-6.921563791806693e-05j),(2.3213522440206e-05+7.274550780221989e-05j),(0.984090092177425-0.1776701088061425j),-27.124947608251247,-0.00842797186308208,-82.28918469139388,-120.67676864182896,149.3066983845913,-115.72697272756638
4.128,(-0.02247397538642745-0.03787421725930688j),(-0.8590113842077242+0.5100586742811811j),(-3.344701551785052e-05-6.939645279517241e-05j),(-0.8590113842077217+0.5100586742811799j),(-0.02249510804129305-0.03786163454915501j),(2.328130974665535e-05+7.29369544141476e-05j),(-3.344701551782818e-05-6.939645279515895e-05j),(2.328130974665856e-05+7.293695441412214e-05j),(0.984082368185205-0.1777128852962692j),-27.1230217678097,-0.008431714595873083,-82.26610706014704,-120.68423902800572,149.29925838208138,-115.73267667587221
4.129,(-0.02248389708061398-0.03787968267849454j),(-0.8589447739081671+0.5101699956439945j),(-3.354309299690515e-05-6.957808511199347e-05j),(-0.858944773908165+0.5101699956439932j),(-0.02250498968895086-0.03786711991198886j),(2.334940955995114e-05+7.31292678120215e-05j),(-3.35430929968827e-05-6.957808511197995e-05j),(2.334940955995439e-05+7.312926781199593e-05j),(0.9840746421716839-0.1777556623471715j),-27.12109632055472,-0.008435458217347128,-82.2429862427832,-120.69170966379984,149.2918183304378,-115.7383806260224
4.13,(-0.02249382083839859-0.03788514620781568j),(-0.8588781486534993+0.5102813089979326j),(-3.363961268699985e-05-6.97605403372675e-05j),(-0.8588781486534971+0.5102813089979312j),(-0.02251487315725041-0.03787260354475507j),(2.341782397647629e-05+7.332245379610201e-05j),(-3.363961268697725e-05-6.976054033725394e-05j),(2.341782397647958e-05+7.332245379607632e-05j),(0.9840669141356809-0.177798439964703j),-27.1191712651232,-0.008439202729902114,-82.21982204936006,-120.69918055059856,149.28437822929791,-115.7440845784839
4.131,(-0.0225037466636277-0.03789060785144154j),(-0.8588115084410891+0.5103926143462615j),(-3.373657755981755e-05-6.994382398850528e-05j),(-0.858811508441087+0.5103926143462602j),(-0.02252475844847642-0.03787808545267806j),(2.348655511133343e-05+7.351651821837169e-05j),(-3.373657755979484e-05-6.994382398849167e-05j),(2.348655511133672e-05+7.351651821834586e-05j),(0.9840591840760041-0.1778412181547696j),-27.117246600142213,-0.008442948135962008,-82.19661428866951,-120.70665168980217,149.27693807829576,-115.74978853372919
4.132,(-0.02251367456018852-0.03789606761358416j),(-0.858744853268271+0.5105039116922929j),(-3.383399061362853e-05-7.012794163255053e-05j),(-0.8587448532682689+0.5105039116922916j),(-0.02253464556494051-0.03788356564103253j),(2.355560509855135e-05+7.371146698313978e-05j),(-3.38339906136057e-05-7.012794163253686e-05j),(2.355560509855467e-05+7.37114669831138e-05j),(0.9840514519914512-0.1778839969233312j),-27.115322324228867,-0.008446694437978776,-82.17336276822616,-120.71412308282429,149.26949787706218,-115.75549249223619
4.133,(-0.02252360453200948-0.03790152549849673j),(-0.8586781831323453+0.5106152010393856j),(-3.393185487358801e-05-7.03128988861322e-05j),(-0.8586781831323431+0.5106152010393843j),(-0.02254453450898146-0.03788904411514379j),(2.362497609129705e-05+7.390730604762814e-05j),(-3.393185487356506e-05-7.031289888611845e-05j),(2.362497609130041e-05+7.390730604760205e-05j),(0.9840437178808092-0.1779267762764016j),-27.11339843599021,-0.008450441638418864,-82.15006729425595,-120.72159473109186,149.2620576252246,-115.76119645448836
4.134,(-0.02253353658306068-0.03790698151047406j),(-0.858611498030577+0.510726482390945j),(-3.403017339203793e-05-7.049870141642404e-05j),(-0.8586114980305747+0.5107264823909436j),(-0.0225544252829655-0.03789452088038851j),(2.369467026209047e-05+7.410404142256483e-05j),(-3.403017339201486e-05-7.049870141641028e-05j),(2.369467026209385e-05+7.41040414225386e-05j),(0.9840359817428536-0.1779695562200491j),-27.111474934023107,-0.008454189739784443,-82.12672767168469,-120.72906663604546,149.25461732240723,-115.76690042097479
4.135,(-0.02254347071735436-0.03791243565385308j),(-0.8585447979601967+0.5108377557504239j),(-3.412894924881284e-05-7.068535494161204e-05j),(-0.8585447979601942+0.5108377557504225j),(-0.02256431788928661-0.0378999959421951j),(2.376468980302226e-05+7.430167917278573e-05j),(-3.412894924878965e-05-7.068535494159821e-05j),(2.376468980302565e-05+7.430167917275937e-05j),(0.9840282435763488-0.1780123367603975j),-27.109551816914127,-0.008457938744592162,-82.10334370412627,-120.7365387991393,149.24717696823072,-115.77260439219022
4.136,(-0.02255340693894544-0.03791788793301332j),(-0.8584780829183982+0.5109490211213231j),(-3.422818555155039e-05-7.087286523147027e-05j),(-0.858478082918396+0.5109490211213219j),(-0.02257421233036688-0.03790546930604451j),(2.383503692597488e-05+7.450022541784563e-05j),(-3.422818555152708e-05-7.087286523145638e-05j),(2.383503692597833e-05+7.450022541781917e-05j),(0.9840205033800485-0.1780551179036267j),-27.107629083239416,-0.008461688655393427,-82.07991519387087,-120.7440112218415,149.23973656231252,-115.77830836863512
4.137,(-0.02256334525193193-0.03792333835237734j),(-0.858411352902341+0.5110602785071927j),(-3.432788543600519e-05-7.106123810794295e-05j),(-0.8584113529023386+0.5110602785071914j),(-0.02258410860865679-0.03791094097747064j),(2.390571386284608e-05+7.46996863326356e-05j),(-3.432788543598176e-05-7.106123810792902e-05j),(2.390571386284954e-05+7.469968633260902e-05j),(0.9840127611526948-0.1780978996559728j),-27.105706731564602,-0.0084654394747522,-82.05644194187302,-120.75148390563415,149.23229610426634,-115.7840123508157
4.138,(-0.02257328566045547-0.03792878691641126j),(-0.8583446079091464+0.5111715279116309j),(-3.442805206636767e-05-7.125047944573612e-05j),(-0.8583446079091442+0.5111715279116297j),(-0.02259400672663558-0.03791641096206103j),(2.397672286577585e-05+7.490006814801051e-05j),(-3.442805206634413e-05-7.125047944572215e-05j),(2.397672286577934e-05+7.49000681479838e-05j),(0.9840050168930176-0.1781406820237293j),-27.10378476044463,-0.008469191205273943,-82.03292374773946,-120.7589568520136,149.22485559370264,-115.78971633924401
4.139,(-0.02258322816870178-0.03793423362962522j),(-0.8582778479359002+0.5112827693382862j),(-3.452868863558666e-05-7.144059517291562e-05j),(-0.8582778479358981+0.511282769338285j),(-0.02260390668681148-0.03792187926545743j),(2.40480662073761e-05+7.510137715142329e-05j),(-3.452868863556298e-05-7.144059517290158e-05j),(2.404806620737961e-05+7.510137715139643e-05j),(0.9839972705997357-0.1781834650132476j),-27.101863168423684,-0.00847294384957379,-82.00936040971703,-120.7664300624904,149.21741503022818,-115.79542033443802
4.14,(-0.02259317278090119-0.03793967849657389j),(-0.8582110729796507+0.5113940027908571j),(-3.462979836569706e-05-7.163159127151499e-05j),(-0.8582110729796484+0.5113940027908558j),(-0.02261380849172217-0.03792734589335647j),(2.411974618096394e-05+7.530361968756981e-05j),(-3.462979836567328e-05-7.163159127150088e-05j),(2.411974618096748e-05+7.530361968754282e-05j),(0.9839895222715567-0.1782262486309372j),-27.099941954035046,-0.008476697410304518,-81.98575172468017,-120.77390353858972,149.20997441344625,-115.80112433692162
4.141,(-0.02260311950132917-0.03794512152185699j),(-0.8581442830374079+0.5115052282730934j),(-3.473138450815166e-05-7.182347377815089e-05j),(-0.8581442830374053+0.511505228273092j),(-0.02262371214393504-0.0379328108515102j),(2.419176510079793e-05+7.550680215904167e-05j),(-3.473138450812775e-05-7.182347377813672e-05j),(2.41917651008015e-05+7.550680215901459e-05j),(0.9839817719071748-0.1782690328832675j),-27.098021115800954,-0.008480451890139178,-81.96209748811846,-120.78137728185133,149.20253374295635,-115.80682834722472
4.142,(-0.0226130683343068-0.0379505627101198j),(-0.8580774781061438+0.5116164457887951j),(-3.483345034415691e-05-7.201624878464583e-05j),(-0.8580774781061414+0.5116164457887938j),(-0.02263361764604751-0.03793827414572676j),(2.426412530231717e-05+7.571093102698689e-05j),(-3.483345034413288e-05-7.201624878463165e-05j),(2.426412530232077e-05+7.571093102695963e-05j),(0.9839740195052736-0.1783118177767671j),-27.096100652232487,-0.00848420729178751,-81.93839749412408,-120.78885129382985,149.19509301835453,-115.81253236588334
4.143,(-0.02262301928420136-0.03795600206605363j),(-0.8580106581827927+0.5117276553418155j),(-3.493599918501459e-05-7.220992243866205e-05j),(-0.8580106581827905+0.5117276553418143j),(-0.02264352500068744-0.03794373578187107j),(2.433682914238453e-05+7.591601281178178e-05j),(-3.493599918499047e-05-7.22099224386478e-05j),(2.433682914238815e-05+7.591601281175443e-05j),(0.9839662650645237-0.1783546033180254j),-27.094180561829447,-0.008487963617969873,-81.91465153537882,-120.79632557609493,149.18765223923293,-115.81823639343952
4.144,(-0.02263297235542677-0.03796143959439645j),(-0.8579438232642494+0.51183885693606j),(-3.503903437246736e-05-7.240450094434194e-05j),(-0.8579438232642471+0.5118388569360587j),(-0.02265343421051347-0.03794919576586539j),(2.440987899953253e-05+7.612205409371086e-05j),(-3.50390343724431e-05-7.240450094432762e-05j),(2.440987899953616e-05+7.612205409368336e-05j),(0.9839585085835838-0.1783973895136931j),-27.092260843080208,-0.008491720871445247,-81.8908594031413,-120.80380013023125,149.18021140518007,-115.82394043044167
4.145,(-0.02264292755244421-0.03796687529993329j),(-0.857876973347369+0.5119500505754869j),(-3.51425592790487e-05-7.259999056295764e-05j),(-0.8578769733473667+0.5119500505754856j),(-0.0226633452782153-0.03795465410369003j),(2.448327727421272e-05+7.63290615136556e-05j),(-3.514255927902431e-05-7.259999056294325e-05j),(2.448327727421638e-05+7.632906151362798e-05j),(0.9839507500610996-0.1784401763704827j),-27.09034149446159,-0.008495479055000607,-81.86702088723382,-120.81127495783902,149.17277051578066,-115.82964447744438
4.146,(-0.02265288487976265-0.03797230918749692j),(-0.8578101084289669+0.5120612362641087j),(-3.52465773084389e-05-7.279639761357096e-05j),(-0.8578101084289644+0.5120612362641074j),(-0.02267325820651419-0.03796011080138403j),(2.455702638904904e-05+7.653704177379437e-05j),(-3.524657730841442e-05-7.279639761355655e-05j),(2.455702638905273e-05+7.653704177376663e-05j),(0.9839429894957047-0.1784829638951694j),-27.08842251443872,-0.008499238171446098,-81.84313577602913,-120.81875006053383,149.16532957061548,-115.8353485350085
4.147,(-0.02266284434193937-0.03797774126196827j),(-0.8577432285058182+0.512172414005992j),(-3.535109189582479e-05-7.299372847370063e-05j),(-0.8577432285058159+0.5121724140059907j),(-0.02268317299816318-0.03796556586504577j),(2.463112878909382e-05+7.674600163831026e-05j),(-3.535109189580022e-05-7.299372847368617e-05j),(2.463112878909755e-05+7.674600163828243e-05j),(0.9839352268860196-0.1785257520945919j),-27.0865039014649,-0.008502998223623725,-81.81920385643701,-120.82622543994707,149.15788856926156,-115.8410526037014
