,S11,S21,S31,S12,S22,S32,S13,S23,S33,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31
4.01,(-0.02131689561973012-0.03721512980476046j),(-0.8667669120550198+0.4968659129338988j),(-2.455753368439087e-05-5.252125714679106e-05j),(-0.8667669120550179+0.4968659129338978j),(-0.02134139368328908-0.03720108280454754j),(1.698668050112616e-05+5.50762279603254e-05j),(-2.455753368438501e-05-5.252125714678375e-05j),(1.698668050112537e-05+5.507622796031625e-05j),(0.9849801006917401-0.1726678699152047j),-27.35329502096324,-0.007995702230288313,-84.73459789900332,-119.80416162107288,150.17691786139244,-115.059531820935
4.011,(-0.02132659229264568-0.03722083897576428j),(-0.8667020550876948+0.4969781926452616j),(-2.461672981051775e-05-5.263419840807767e-05j),(-0.8667020550876928+0.4969781926452604j),(-0.02135107092588138-0.03720679848524457j),(1.70285462040003e-05+5.519571008705067e-05j),(-2.461672981051174e-05-5.263419840807031e-05j),(1.702854620399955e-05+5.519571008704138e-05j),(0.9849726072190508-0.1727106103762252j),-27.351315768713444,-0.007999352724292684,-84.71553539395146,-119.8116096916949,150.1694817668581,-115.06523762452376
4.012,(-0.02133629077057035-0.03722654596055841j),(-0.8666371833130427+0.4970904641832163j),(-2.467614505248847e-05-5.274754823774377e-05j),(-0.866637183313041+0.4970904641832153j),(-0.02136074984805491-0.03721251206046786j),(1.707056773041059e-05+5.531562535543241e-05j),(-2.46761450524823e-05-5.274754823773634e-05j),(1.707056773040987e-05+5.531562535542295e-05j),(0.9849651118128164-0.1727533509635872j),-27.349337022965976,-0.00800300393791463,-84.69644549996531,-119.81905791180276,150.16204565028673,-115.07094340230294
4.013,(-0.02134599105459411-0.0372322507605431j),(-0.8665722967307271+0.4972027275479058j),(-2.473578057976846e-05-5.28613088086371e-05j),(-0.866572296730725+0.4972027275479047j),(-0.02137043045028089-0.0372182235320319j),(1.711274591262423e-05+5.543597606987241e-05j),(-2.473578057976214e-05-5.286130880862964e-05j),(1.711274591262356e-05+5.543597606986282e-05j),(0.9849576144725751-0.1727960916795709j),-27.347358783012762,-0.008006655871952324,-84.67732812171919,-119.82650628189555,150.15460951153457,-115.07664915434428
4.014,(-0.02135569314581949-0.03723795337713137j),(-0.8665073953404001+0.4973149827394859j),(-2.479563757010729e-05-5.297548230898348e-05j),(-0.866507395340398+0.4973149827394848j),(-0.02138011273303882-0.03722393290176697j),(1.715508158880479e-05+5.555676455108321e-05j),(-2.479563757010082e-05-5.297548230897595e-05j),(1.715508158880416e-05+5.555676455107349e-05j),(0.9849501151978625-0.1728388325264731j),-27.345381048142784,-0.008010308527228078,-84.65818316338479,-119.8339548024766,150.14717335045674,-115.08235488072143
4.015,(-0.02136539704536176-0.0372436538117492j),(-0.8664424791417041+0.4974272297581283j),(-2.485571720961241e-05-5.309007094252352e-05j),(-0.8664424791417021+0.4974272297581271j),(-0.02138979669681653-0.03722964017151924j),(1.719757560306457e-05+5.567799313623305e-05j),(-2.485571720960577e-05-5.309007094251594e-05j),(1.719757560306396e-05+5.567799313622316e-05j),(0.9849426139882093-0.1728815735066073j),-27.343403817642013,-0.008013961904559374,-84.63901052862761,-119.84140347405344,150.1397371669074,-115.08806058151036
4.016,(-0.02137510275434906-0.03724935206583566j),(-0.8663775481342704+0.4975394686040186j),(-2.491602069282329e-05-5.320507692865032e-05j),(-0.8663775481342685+0.4975394686040176j),(-0.02139948234211033-0.03723534534315096j),(1.724022880551746e-05+5.579966417909193e-05j),(-2.49160206928165e-05-5.320507692864269e-05j),(1.72402288055169e-05+5.57996641790819e-05j),(0.9849351108431444-0.1729243146223041j),-27.341427090793402,-0.008017616004777208,-84.61981012060326,-119.84885229713777,150.13230096073963,-115.093766256789
4.017,(-0.02138481027392242-0.03725504814084292j),(-0.8663126023177201+0.4976516992773577j),(-2.497654922278615e-05-5.332050250254808e-05j),(-0.8663126023177181+0.4976516992773565j),(-0.02140916966942496-0.03724104841854051j),(1.728304205233212e-05+5.59217800501786e-05j),(-2.497654922277921e-05-5.332050250254038e-05j),(1.728304205233159e-05+5.592178005016843e-05j),(0.9849276057621923-0.172967055875911j),-27.339450866876895,-0.008021270828713548,-84.60058184195395,-119.85630127224566,150.1248647318055,-115.09947190663745
4.018,(-0.02139451960523599-0.0372607420382365j),(-0.8662476416916631+0.497763921778361j),(-2.503730401113007e-05-5.343634991533328e-05j),(-0.8662476416916612+0.49776392177836j),(-0.02141885867927379-0.03724674939958265j),(1.732601620578612e-05+5.604434313691041e-05j),(-2.503730401112296e-05-5.343634991532554e-05j),(1.732601620578564e-05+5.604434313690011e-05j),(0.9849200987448744-0.1730097972697931j),-27.337475145169297,-0.008024926377215802,-84.58132559480484,-119.86375039989744,150.11742847995598,-115.10517753113803
4.019,(-0.02140423074945708-0.03726643375949529j),(-0.8661826662556985+0.4978761361072597j),(-2.509828627814348e-05-5.355262143419673e-05j),(-0.8661826662556966+0.4978761361072587j),(-0.02142854937217883-0.0372524482881886j),(1.736915213432045e-05+5.616735584375386e-05j),(-2.509828627813623e-05-5.355262143418895e-05j),(1.736915213432001e-05+5.616735584374343e-05j),(0.9849125897907083-0.1730525388063327j),-27.335499924944365,-0.008028582651132345,-84.56204128076025,-119.87119968061779,150.109992205041,-115.11088313037513
